Core_Kmax,GR,PEF,PHIA,PHIE,PHIN,RHOB,RoMS,RT,SwIrr,SwMS,VCL,VSH
595.562,25.2331,1.9051,0.2005,0.1857,0.2925,2.2933,16.9206,321.1853,0.1532,0.1727,0.0307,0.1045
594.658,22.7589,2.0219,0.1917,0.1958,0.2647,2.2774,19.648,626.7565,0.1364,0.1663,0,0
780.44,24.2826,2.0274,0.1922,0.1962,0.268,2.2809,19.5663,660.9713,0.1356,0.1614,0.0172,0
743.033,23.0716,1.9541,0.1927,0.1966,0.2617,2.2694,19.4915,664.4341,0.135,0.1607,0,0
2262.5659,27.9031,1.9313,0.2004,0.203,0.2663,2.2524,18.3889,347.3087,0.1252,0.2182,0.0689,0
11989.001,33.1557,1.8694,0.2078,0.2092,0.2742,2.2416,17.4198,247.805,0.1165,0.2527,0.144,0
2.47,55.2811,2.0373,0.1961,0.1716,0.2964,2.3133,16.5206,79.3934,0.1802,0.3864,0.4603,0.1713
895.087,31.9605,1.9732,0.2133,0.1432,0.3417,2.3306,13.1131,186.8993,0.2504,0.2504,0.1269,0.3977
3783.9939,21.208,1.8338,0.2424,0.238,0.3017,2.1757,13.7743,370.4964,0.0812,0.1816,0,0
3752.1221,24.0217,1.9374,0.2321,0.2294,0.3043,2.2123,14.7249,598.0898,0.0908,0.1467,0.0134,0
5717.1221,25.2842,2.0644,0.2237,0.2224,0.2894,2.2153,15.5772,686.6217,0.0991,0.1406,0.0315,0
12048.4063,34.7452,1.9967,0.2392,0.2353,0.3038,2.1892,14.0618,230.5461,0.0841,0.2348,0.1667,0
3775.563,48.5735,1.9804,0.209,0.1887,0.3034,2.2837,15.8319,273.7438,0.1481,0.1793,0.3644,0.1239
1486.962,47.057,2.0135,0.227,0.2252,0.3029,2.2262,15.2342,253.1898,0.0958,0.2331,0.3428,0
267.693,30.0704,2.006,0.2355,0.2322,0.3143,2.2174,14.402,240.3677,0.0876,0.2326,0.0999,0
654.16,33.6216,1.9133,0.2308,0.2283,0.3062,2.2196,14.8584,329.2104,0.0921,0.2008,0.1507,0
9194.4932,30.1854,2.0511,0.2038,0.1848,0.2983,2.292,16.3314,630.3494,0.1548,0.1548,0.1015,0.1246
8988.6553,84.9346,2.0265,0.2061,0.2077,0.2784,2.2536,17.6367,567.9823,0.1184,0.1655,0.8843,0
0.002,70.6054,2.168,0.146,0.0627,0.2319,2.5831,11.686,50.1531,0.7959,0.7959,0.6124,0.7835
0.524,51.235,2.2839,0.1743,0.1483,0.1912,2.4187,17.8369,36.2661,0.236,0.6426,0.3477,0.2282
1.616,36.8676,2.1313,0.1392,0.113,0.1698,2.5012,19.0586,58.9534,0.3642,0.4443,0.1513,0.3385
1.538,48.841,1.9975,0.1593,0.1276,0.1865,2.4615,17.8082,34.9744,0.3023,0.637,0.3149,0.3112
0.058,46.1952,2.0389,0.1714,0.1399,0.194,2.4331,17.3635,37.4235,0.2604,0.609,0.2788,0.2738
3.499,49.1979,2.5109,0.1751,0.14,0.1995,2.43,16.8157,42.2786,0.2602,0.5472,0.3198,0.2885
0.044,50.7908,1.7927,0.178,0.1266,0.215,2.4466,15.2306,54.0236,0.3062,0.4093,0.3416,0.3904
55.136,36.1056,2.074,0.1779,0.156,0.1903,2.4049,18.0698,45.8102,0.2156,0.5666,0.1409,0.1917
7.521,40.9536,2.1885,0.143,0.114,0.1747,2.4966,18.5308,58.0448,0.3592,0.4403,0.2071,0.3473
1.209,45.2237,2.2937,0.1375,0.1021,0.179,2.5224,17.3837,63.6161,0.4219,0.4219,0.2655,0.426
0.788,47.9261,2.0614,0.1393,0.107,0.1764,2.5119,17.9464,54.8918,0.3942,0.4377,0.3024,0.3906
5.029,49.9773,1.9021,0.1811,0.1532,0.1976,2.4064,17.2257,39.8071,0.2228,0.5946,0.3305,0.2247
0.808,55.6363,2.3278,0.1716,0.1042,0.2253,2.4856,13.9908,37.1415,0.4095,0.4831,0.4078,0.5247
0,92.0638,1.8075,0.1611,0.0767,0.2366,2.54,12.3846,37.6812,0.6195,0.6195,0.9057,0.6997
0,82.2649,2.1288,0.176,0.0954,0.2387,2.4934,13.0245,41.4502,0.4638,0.4638,0.7718,0.5972
0.004,98.747,2.2193,0.168,0.1009,0.2235,2.4945,13.9896,36.5567,0.4288,0.4857,0.997,0.5387
0.089,80.6278,2.3277,0.168,0.102,0.2224,2.4928,14.0914,49.574,0.422,0.422,0.7494,0.5302
0.185,75.8437,2.2253,0.174,0.106,0.2271,2.4803,13.9378,38.9159,0.3998,0.466,0.684,0.5194
0.063,69.7203,2.257,0.1499,0.0799,0.2193,2.5487,13.3249,41.6749,0.5868,0.5868,0.6003,0.6508
2.179,76.7234,1.8404,0.2054,0.1794,0.2142,2.3524,15.7509,42.5447,0.1648,0.5589,0.696,0.1629
239.255,35.1189,2.722,0.2285,0.1341,0.2774,2.3812,11.8457,86.8281,0.2793,0.2793,0.1274,0.4858
4.765,48.5062,2.1254,0.2156,0.1614,0.2418,2.3645,13.6975,77.2352,0.2025,0.3208,0.3104,0.3028
861.816,32.0006,2.1285,0.2378,0.2054,0.2444,2.2939,13.2694,141.2244,0.1217,0.2474,0.0848,0.1451
122.514,30.6189,1.5974,0.2583,0.2438,0.2511,2.236,12.344,80.1012,0.0751,0.3703,0.0659,0.0342
915.409,27.5632,1.8605,0.2551,0.2405,0.2483,2.2422,12.564,81.6924,0.0786,0.3687,0.0241,0.0377
401.524,31.3563,1.6319,0.243,0.2317,0.2357,2.2617,13.5263,95.2862,0.0882,0.3536,0.076,0.0335
161.251,32.0331,1.8964,0.2309,0.2079,0.2327,2.2975,14.0487,207.5847,0.1182,0.21,0.0852,0.1066
121.031,32.0697,1.8121,0.2342,0.1988,0.2434,2.3044,13.4006,378.8549,0.1316,0.1316,0.0857,0.1661
185.902,29.9293,1.7402,0.2513,0.2419,0.2418,2.2441,12.9543,304.8096,0.077,0.1889,0.0565,0.0161
4132.1992,25.6061,1.5973,0.2724,0.2628,0.2579,2.2,11.4945,269.5784,0.057,0.195,0,0
2074.3831,27.2623,1.6569,0.277,0.2667,0.263,2.1928,11.1912,254.4128,0.0536,0.1982,0.02,0
1471.833,30.6296,1.7237,0.253,0.2373,0.2472,2.2472,12.68,558.8343,0.082,0.1245,0.066,0.0452
1828.726,23.7961,1.8359,0.2584,0.2512,0.2394,2.216,12.4808,250.3473,0.0677,0.2115,0,0
9607.6211,22.1355,1.5234,0.2557,0.2421,0.2483,2.24,12.5391,408.9473,0.0769,0.153,0,0.0325
259.019,23.721,1.6999,0.2421,0.2377,0.2227,2.2427,13.8015,236.2612,0.0815,0.2296,0,0
0.456,66.2616,1.954,0.1585,0.0866,0.224,2.5275,13.417,242.124,0.5282,0.5282,0.553,0.6193
1828.691,27.7028,2.3131,0.2084,0.1916,0.2099,2.3351,16.1061,98.5136,0.1432,0.3551,0.026,0.1044
0,61.2372,2.1895,0.1832,0.0784,0.2757,2.5074,11.4403,36.4139,0.6021,0.6021,0.3248,0.7247
0.3,44.9573,3.5318,0.1832,0.078,0.2759,2.508,11.4196,31.7223,0.6059,0.6059,0.1598,0.7271
0.1,62.2092,2.0134,0.1888,0.1526,0.2235,2.4083,15.8376,32.1453,0.2243,0.6427,0.3347,0.2599
3419.8999,78.3169,1.9082,0.2648,0.2521,0.2697,2.2428,11.7091,812.999,0.0669,0.1042,0.498,0.0202
3509,31.9615,2.0111,0.2611,0.2535,0.258,2.236,12.035,1201.3655,0.0656,0.0921,0.0281,0
2789.2,34.7084,1.9088,0.2533,0.247,0.2411,2.234,12.6171,1273.9816,0.0719,0.0915,0.056,0
2851.7,31.4484,2.0491,0.2543,0.2479,0.2535,2.2501,12.5358,1099.4796,0.071,0.0985,0.0229,0
508.7,58.7776,2.0931,0.178,0.1637,0.1978,2.4019,18.6607,171.6665,0.1973,0.2559,0.2999,0.14
131.6,41.0785,1.8938,0.2454,0.2067,0.2683,2.3014,12.428,72.6329,0.1199,0.3569,0.1205,0.1653
151.1,44.6731,1.8888,0.2493,0.2156,0.2685,2.2894,12.3076,79.965,0.1077,0.3428,0.157,0.1352
3009.3,29.1705,1.9257,0.2096,0.2107,0.209,2.3205,16.852,181.281,0.1144,0.292,0,0
2045.8,23.2807,1.853,0.2101,0.2111,0.2027,2.3092,16.7965,566.1708,0.1138,0.1616,0,0
2689.7,30.0852,1.9634,0.2077,0.2037,0.214,2.3343,16.7095,349.6328,0.1243,0.1928,0.0091,0.0313
7383.3999,25.9843,2.0993,0.2075,0.2089,0.203,2.3177,17.1098,294.0554,0.1168,0.2291,0,0
5822.5,29.0302,2.0039,0.2021,0.2044,0.2004,2.3306,17.8025,153.3971,0.1232,0.3276,0,0
1227,66.5888,1.9574,0.2358,0.2053,0.2554,2.3111,13.2238,101.5287,0.1219,0.3062,0.3791,0.1385
1973.1,33.9557,1.9804,0.2031,0.2053,0.189,2.3095,17.6669,69.6722,0.122,0.4912,0.0483,0
228,54.9059,1.8911,0.2316,0.2233,0.2376,2.2965,14.2763,460.8618,0.098,0.1536,0.2607,0.0291
957.5,49.8065,1.8963,0.2207,0.2144,0.2268,2.3137,15.3177,980.5877,0.1093,0.1093,0.209,0.0299
769.2,63.8276,1.8852,0.2179,0.2018,0.2311,2.3292,15.0806,1004.3538,0.1271,0.1271,0.3511,0.087
554.7,52.2928,2.0135,0.2086,0.1999,0.2182,2.3379,16.3044,882.1541,0.1299,0.1299,0.2342,0.0575
771.7,49.1239,1.8808,0.2089,0.2002,0.2184,2.3374,16.2816,1064.1472,0.1295,0.1295,0.2021,0.057
676.8,52.767,2.0613,0.2079,0.2065,0.2122,2.331,16.8777,970.432,0.1202,0.1202,0.239,0.0156
424,49.9444,1.9833,0.2158,0.2024,0.2275,2.3301,15.3915,917.1941,0.1262,0.1262,0.2104,0.0749
2018,38.3847,2.0534,0.2186,0.2007,0.233,2.3298,14.9299,2015.7549,0.1287,0.1287,0.0932,0.0962
1143.6,46.3055,1.9048,0.2237,0.2088,0.2352,2.3174,14.6607,1314.9154,0.117,0.117,0.1735,0.0732
2073.7,52.9997,1.9662,0.2287,0.2188,0.2362,2.3033,14.4528,1154.2551,0.1037,0.1037,0.2414,0.041
5186,108.2168,1.9812,0.2281,0.2132,0.2389,2.3095,14.3109,897.5841,0.111,0.111,0.801,0.0678
3227.8,44.1571,1.941,0.2353,0.2293,0.2394,2.2878,14.0468,4523.9839,0.0909,0.0909,0.1517,0.014
3029,57.8626,2.0061,0.2344,0.2313,0.2356,2.2844,14.2157,2879.5044,0.0886,0.0886,0.2906,0
311.4,89.7808,2.3613,0.211,0.206,0.2175,2.3295,16.317,1182.1609,0.1209,0.1209,0.6141,0.0331
36.9,102.9097,2.1104,0.2002,0.1696,0.2275,2.3788,15.559,430.0391,0.1844,0.1844,0.7472,0.2001
196.7,114.6799,2.2265,0.1465,0.11,0.1981,2.5009,17.1292,261.1093,0.3786,0.3786,0.8665,0.3957
1.3,91.0941,2.1508,0.1493,0.1326,0.1796,2.4634,20.3963,95.7156,0.2844,0.3567,0.6275,0.2249
13.1,86.8039,2.0873,0.1417,0.1218,0.1783,2.485,20.0546,136.9858,0.3251,0.3251,0.584,0.2752
11.994,56.7427,2.2545,0.1847,0.0523,0.2785,2.5058,9.0895,28.718,0.9894,0.9894,0.5842,0.8967
8.971,35.9139,1.9445,0.1749,0.1092,0.2194,2.4559,13.9038,26.79,0.383,0.6253,0.2762,0.4998
1.229,47.4439,2.0637,0.1856,0.1425,0.2068,2.4131,15.3553,27.1268,0.2527,0.6943,0.4467,0.3127
0.949,48.7593,2.1101,0.1603,0.0978,0.2098,2.4806,14.1286,29.815,0.4481,0.5731,0.4661,0.5399
0.485,45.6986,2.2373,0.1776,0.132,0.2038,2.4295,15.446,28.5852,0.2867,0.6649,0.4209,0.3529
12.834,40.8815,2.178,0.1635,0.1067,0.2059,2.4676,14.6812,26.5846,0.3957,0.6528,0.3496,0.4828
4.394,53.4327,2.0745,0.1818,0.1302,0.2113,2.4284,14.8498,28.7454,0.293,0.6421,0.5352,0.3796
20.436,52.9314,2.1163,0.2029,0.1541,0.2229,2.3896,14.2346,29.2591,0.2205,0.6349,0.5278,0.3026
1.74,41.3695,2.0522,0.2163,0.1668,0.2328,2.3684,13.5727,27.3267,0.1903,0.6512,0.3568,0.2748
34.824,37.1126,2.0176,0.2102,0.1636,0.2264,2.3757,14.0002,27.7521,0.1976,0.6565,0.2939,0.2723
13.498,42.2538,2.0645,0.2157,0.1573,0.2386,2.3771,13.2376,29.2988,0.2123,0.6048,0.3699,0.3259
10.131,46.9208,2.065,0.2085,0.1511,0.233,2.3882,13.5721,34.0111,0.2284,0.5526,0.4389,0.3387
36.555,36.212,2.1436,0.2109,0.1547,0.2338,2.3831,13.5268,32.0627,0.219,0.5767,0.2806,0.3257
16.243,28.0984,2.0077,0.2043,0.1261,0.2453,2.4145,12.7676,31.7937,0.3082,0.531,0.1606,0.4721
3.11,39.4578,1.9616,0.1927,0.1492,0.2118,2.4015,15.022,24.3497,0.2334,0.7383,0.3286,0.2958
1.066,34.5078,2.0379,0.1987,0.1659,0.2079,2.3814,15.3998,23.9321,0.1923,0.7689,0.2554,0.216
20.449,39.9767,2.2321,0.1881,0.1481,0.2061,2.4057,15.4672,26.6347,0.2365,0.7103,0.3362,0.2863
